CNTSCHID,CNTSTUID,BOOKID,EFFORT_TT,qq_time,qq_items,ldw_n,ldw_credit,ldw_mc,ldw_dis,ldw_nr,ldw_time,SPATH,MPATH,RDESIGN,sci_n,sci_credit,sci_mc,sci_nr,math_n,math_credit,math_mc,math_nr,read_n,read_credit,read_mc,read_nr,CNT,STRATUM,REGION,SC001Q01TA,SC013Q01TA,SCHLTYPE,PRIVATESCH,SCHSIZE_Q,CLSIZE,TOTAT_Q,STRATIO_Q,SCRATIO_Q,SCHSEL,ABGSCIE,PROATCE,EDULEAD,NEGSCLIM,STAFFSHORT,EDUSHORT,DIGPREP,AVLRSOFT,ENCOURPG,STDTEST,TDTEST,W_NRASCHBWT,SENSCWT,vung
70400001,70400021,6.0,57.0,1800.0,70.0,13.0,2.0,0.15384615384615385,3.0,0.0,1288947.0,2.0,0.0,0.0,22.0,4.0,0.18181818181818182,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,VNM,VNM16,70402,2.0,1.0,3.0,1.0,4.0,43.0,3.0,4.0,3.0,1.0,3.0,5.0,-0.6172,-0.0155,1.0954,2.186,-0.9555,-1.1814764278469176,-0.5794,0.1991,-1.7613,41.270746012,28.32730592514891,2.0
70400001,70400022,4.0,28.0,1298.0,72.0,0.0,0.0,,0.0,0.0,,1.0,0.0,1.0,23.0,7.0,0.30434782608695654,0.0,0.0,0.0,,0.0,44.0,20.0,0.45454545454545453,0.0,VNM,VNM16,70402,2.0,1.0,3.0,1.0,4.0,43.0,3.0,4.0,3.0,1.0,3.0,5.0,-0.6172,-0.0155,1.0954,2.186,-0.9555,-1.1814764278469176,-0.5794,0.1991,-1.7613,41.270746012,28.32730592514891,2.0
70400001,70400023,4.0,104.0,2035.0,71.0,0.0,0.0,,0.0,0.0,,2.0,0.0,1.0,22.0,8.0,0.36363636363636365,0.0,0.0,0.0,,0.0,46.0,24.0,0.5217391304347826,0.0,VNM,VNM16,70402,2.0,1.0,3.0,1.0,4.0,43.0,3.0,4.0,3.0,1.0,3.0,5.0,-0.6172,-0.0155,1.0954,2.186,-0.9555,-1.1814764278469176,-0.5794,0.1991,-1.7613,41.270746012,28.32730592514891,2.0
70400001,70400024,5.0,87.0,1350.0,72.0,12.0,6.0,0.5,4.0,0.0,864900.0,1.0,0.0,0.0,23.0,10.0,0.43478260869565216,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,VNM,VNM16,70402,2.0,1.0,3.0,1.0,4.0,43.0,3.0,4.0,3.0,1.0,3.0,5.0,-0.6172,-0.0155,1.0954,2.186,-0.9555,-1.1814764278469176,-0.5794,0.1991,-1.7613,41.270746012,28.32730592514891,2.0
70400001,70400025,10.0,55.0,2108.0,71.0,11.0,11.0,1.0,1.0,3.0,2784294.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0,39.0,16.0,0.41025641025641024,0.0,VNM,VNM16,70402,2.0,1.0,3.0,1.0,4.0,43.0,3.0,4.0,3.0,1.0,3.0,5.0,-0.6172,-0.0155,1.0954,2.186,-0.9555,-1.1814764278469176,-0.5794,0.1991,-1.7613,41.270746012,28.32730592514891,2.0
70400001,70400026,12.0,43.0,1811.0,70.0,13.0,7.0,0.5384615384615384,1.0,2.0,1782147.0,0.0,1.0,0.0,0.0,0.0,,0.0,25.0,12.0,0.48,0.0,0.0,0.0,,0.0,VNM,VNM16,70402,2.0,1.0,3.0,1.0,4.0,43.0,3.0,4.0,3.0,1.0,3.0,5.0,-0.6172,-0.0155,1.0954,2.186,-0.9555,-1.1814764278469176,-0.5794,0.1991,-1.7613,41.270746012,28.32730592514891,2.0
70400001,70400027,1.0,54.0,2123.0,70.0,0.0,0.0,,0.0,0.0,,2.0,2.0,0.0,22.0,11.0,0.5,0.0,27.0,11.0,0.4074074074074074,0.0,0.0,0.0,,0.0,VNM,VNM16,70402,2.0,1.0,3.0,1.0,4.0,43.0,3.0,4.0,3.0,1.0,3.0,5.0,-0.6172,-0.0155,1.0954,2.186,-0.9555,-1.1814764278469176,-0.5794,0.1991,-1.7613,41.270746012,28.32730592514891,2.0
70400001,70400028,6.0,21.0,1477.0,71.0,16.0,21.0,1.3125,0.0,0.0,2278565.0,2.0,0.0,0.0,23.0,10.0,0.43478260869565216,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,VNM,VNM16,70402,2.0,1.0,3.0,1.0,4.0,43.0,3.0,4.0,3.0,1.0,3.0,5.0,-0.6172,-0.0155,1.0954,2.186,-0.9555,-1.1814764278469176,-0.5794,0.1991,-1.7613,41.270746012,28.32730592514891,2.0
70400001,70400029,5.0,110.0,2092.0,69.0,12.0,1.0,0.08333333333333333,3.0,0.0,583275.0,2.0,0.0,0.0,26.0,6.0,0.23076923076923078,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,VNM,VNM16,70402,2.0,1.0,3.0,1.0,4.0,43.0,3.0,4.0,3.0,1.0,3.0,5.0,-0.6172,-0.0155,1.0954,2.186,-0.9555,-1.1814764278469176,-0.5794,0.1991,-1.7613,41.270746012,28.32730592514891,2.0
70400001,70400030,2.0,60.0,2024.0,71.0,0.0,0.0,,0.0,0.0,,2.0,2.0,0.0,26.0,11.0,0.4230769230769231,0.0,29.0,9.0,0.3103448275862069,0.0,0.0,0.0,,0.0,VNM,VNM16,70402,2.0,1.0,3.0,1.0,4.0,43.0,3.0,4.0,3.0,1.0,3.0,5.0,-0.6172,-0.0155,1.0954,2.186,-0.9555,-1.1814764278469176,-0.5794,0.1991,-1.7613,41.270746012,28.32730592514891,2.0
70400001,70400031,2.0,55.0,1795.0,71.0,0.0,0.0,,0.0,0.0,,2.0,2.0,0.0,23.0,10.0,0.43478260869565216,0.0,28.0,13.0,0.4642857142857143,0.0,0.0,0.0,,0.0,VNM,VNM16,70402,2.0,1.0,3.0,1.0,4.0,43.0,3.0,4.0,3.0,1.0,3.0,5.0,-0.6172,-0.0155,1.0954,2.186,-0.9555,-1.1814764278469176,-0.5794,0.1991,-1.7613,41.270746012,28.32730592514891,2.0
70400001,70400032,5.0,104.0,1890.0,71.0,15.0,23.0,1.5333333333333334,1.0,0.0,2684140.0,1.0,0.0,0.0,23.0,12.0,0.5217391304347826,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,VNM,VNM16,70402,2.0,1.0,3.0,1.0,4.0,43.0,3.0,4.0,3.0,1.0,3.0,5.0,-0.6172,-0.0155,1.0954,2.186,-0.9555,-1.1814764278469176,-0.5794,0.1991,-1.7613,41.270746012,28.32730592514891,2.0
70400001,70400033,4.0,55.0,1848.0,71.0,0.0,0.0,,0.0,0.0,,2.0,0.0,1.0,26.0,13.0,0.5,0.0,0.0,0.0,,0.0,46.0,30.0,0.6521739130434783,0.0,VNM,VNM16,70402,2.0,1.0,3.0,1.0,4.0,43.0,3.0,4.0,3.0,1.0,3.0,5.0,-0.6172,-0.0155,1.0954,2.186,-0.9555,-1.1814764278469176,-0.5794,0.1991,-1.7613,41.270746012,28.32730592514891,2.0
70400001,70400034,4.0,56.0,2069.0,71.0,0.0,0.0,,0.0,0.0,,2.0,0.0,1.0,23.0,10.0,0.43478260869565216,0.0,0.0,0.0,,0.0,40.0,22.0,0.55,0.0,VNM,VNM16,70402,2.0,1.0,3.0,1.0,4.0,43.0,3.0,4.0,3.0,1.0,3.0,5.0,-0.6172,-0.0155,1.0954,2.186,-0.9555,-1.1814764278469176,-0.5794,0.1991,-1.7613,41.270746012,28.32730592514891,2.0
70400001,70400035,1.0,19.0,1832.0,71.0,0.0,0.0,,0.0,0.0,,2.0,2.0,0.0,23.0,14.0,0.6086956521739131,0.0,20.0,17.0,0.85,2.0,0.0,0.0,,0.0,VNM,VNM16,70402,2.0,1.0,3.0,1.0,4.0,43.0,3.0,4.0,3.0,1.0,3.0,5.0,-0.6172,-0.0155,1.0954,2.186,-0.9555,-1.1814764278469176,-0.5794,0.1991,-1.7613,41.270746012,28.32730592514891,2.0
