CNT,CNTSCHID,STRATUM,REGION,SC001Q01TA,SC013Q01TA,SCHLTYPE,PRIVATESCH,SCHSIZE_Q,CLSIZE,TOTAT_Q,STRATIO_Q,SCRATIO_Q,SCHSEL,ABGSCIE,PROATCE,EDULEAD,NEGSCLIM,STAFFSHORT,EDUSHORT,DIGPREP,AVLRSOFT,ENCOURPG,STDTEST,TDTEST,W_NRASCHBWT,SENSCWT,vung,n_hs,sci_mean,sci_nvalid,math_mean,read_mean,qq_time_mean
VNM,70400152,VNM01,70402,4.0,2.0,1.0,2.0,4.0,43.0,4.0,2.0,1.0,3.0,3.0,5.0,2.372,3.5479,0.8244,0.1,-0.0252,0.8668700232659826,2.1084,2.0707,0.0031,1.0,0.6863773656263054,2.0,42.0,0.5993679764395877,34.0,0.7337130357304094,0.7912447674613944,1749.357142857143
VNM,70400153,VNM20,70403,1.0,1.0,3.0,1.0,4.0,13.0,4.0,4.0,4.0,3.0,1.0,5.0,2.9181,-0.9799,0.8244,-0.3155,-0.0252,-0.07615014486248524,2.1235,1.3786,2.0128,308.62088095,211.83038724373063,3.0,12.0,0.24488902401945883,10.0,0.2575274363094163,0.30751018901832416,2212.75
VNM,70400154,VNM27,70404,1.0,1.0,3.0,1.0,4.0,43.0,4.0,4.0,2.0,1.0,2.0,5.0,0.3912,-0.5312,0.028,0.1,-0.0252,2.589132669225593,1.9082,0.6282,0.8207,14.978486099,10.280893829701856,4.0,42.0,0.49653022595477836,34.0,0.5997364756470498,0.6484824613961119,1689.095238095238
VNM,70400155,VNM15,70402,1.0,1.0,3.0,1.0,4.0,43.0,3.0,4.0,1.0,3.0,2.0,5.0,0.7178,0.1199,-1.4549,0.1,-0.3737,-0.7952311561203503,0.5859,2.0707,0.6249,22.769326241,15.628350162383489,2.0,42.0,0.3573663913726027,35.0,0.3229117392640873,0.5455872758027098,1789.1190476190477
VNM,70400156,VNM27,70404,2.0,1.0,3.0,1.0,4.0,13.0,4.0,4.0,2.0,3.0,3.0,5.0,1.5856,-0.1717,-0.1952,-0.3123,-0.6361,-0.69689529133295,0.5652,2.0707,1.6334,10.722961156,7.359997829968482,4.0,40.0,0.5519096384511404,33.0,0.7442093426069085,0.6843304176071762,1847.225
VNM,70400157,VNM27,70404,1.0,1.0,3.0,1.0,4.0,43.0,4.0,4.0,2.0,3.0,3.0,5.0,0.2151,-0.1717,0.8244,0.4998,0.5026,-0.7455438441591111,-0.3526,2.0707,0.4108,11.265438111,7.732341733254362,4.0,42.0,0.6436944342954574,34.0,0.8525526696420418,0.7758617706180007,1729.2380952380952
VNM,70400158,VNM30,70405,6.0,2.0,1.0,2.0,1.0,28.0,1.0,2.0,1.0,2.0,3.0,5.0,0.237,0.8426,-0.2966,-0.2692,-0.0177,-0.17517851573993776,0.8038,1.0341,0.8207,156.67857143,107.54062510821632,5.0,36.0,0.4285232762406676,30.0,0.45118805962555963,0.6194029152690227,1719.1666666666667
VNM,70400159,VNM25,70404,5.0,2.0,1.0,2.0,,43.0,3.0,,,3.0,3.0,5.0,0.7135,3.5479,1.5435,0.2651,-0.0252,0.29148402569393134,-0.0265,1.0341,0.0031,14.68039604,10.076291560286046,4.0,41.0,0.46480556050423527,33.0,0.4650732150264738,0.6210081647367613,1206.1707317073171
VNM,70400160,VNM33,70405,4.0,1.0,3.0,1.0,4.0,48.0,4.0,4.0,2.0,3.0,2.0,5.0,2.0093,0.1199,0.1963,0.8007,-3.4403,-0.13544597882319762,2.1084,1.0341,0.8207,3.7685169501,2.5866247365277166,5.0,42.0,0.3884272345301757,34.0,0.39834090806313033,0.6522507852605507,1949.2142857142858
VNM,70400161,VNM32,70405,1.0,1.0,3.0,1.0,4.0,43.0,3.0,4.0,2.0,2.0,1.0,5.0,0.7597,-1.2761,0.3791,-1.421,-0.2389,-0.5460155269628454,0.1994,0.5204,1.5283,34.540798438,23.708022238503645,5.0,41.0,0.45429462481252764,34.0,0.49296055842357284,0.5754148638127549,1795.3902439024391
